pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
276=0.035s (0.0383)/138=0.017s (-0.0149)
278=0.035s (0.0686)/139=0.017s (-0.0194)
280=0.035s (0.0686)/140=0.018s (-0.0332)
282=0.035s (0.0144)/141=0.018s (-0.0174)
284=0.036s (0.00851)/142=0.018s (-0.00691)
286=0.036s (0.0261)/143=0.018s (-0.0157)
288=0.036s (-0.0139)/144=0.018s (-0.00627)
290=0.036s (-0.0555)/145=0.018s (0.0125)
292=0.037s (-0.0437)/146=0.018s (0.00356)
294=0.037s (0.0202)/147=0.018s (0.00456)
296=0.037s (0)/148=0.019s (0.0149)
298=0.037s (0.0383)/149=0.019s (0.00549)
300=0.038s (0.0144)/150=0.019s (0.00734)
302=0.038s (0.0383)/151=0.019s (0.00901)
304=0.038s (0.0559)/152=0.019s (-0.0104)
306=0.038s (0.0617)/153=0.019s (-0.00575)
308=0.039s (0.0383)/154=0.019s (-0.00598)
310=0.039s (-0.0257)/155=0.019s (-0.0212)
312=0.039s (0.031)/156=0.020s (-0.0155)
314=0.039s (-0.0139)/157=0.020s (-0.0105)
316=0.040s (-0.0418)/158=0.020s (-0.00615)
318=0.040s (-0.0139)/159=0.020s (-0.0028)
320=0.040s (0.00851)/160=0.020s (-0.00591)
322=0.040s (-0.0135)/161=0.020s (0.00457)
324=0.041s (0.0578)/162=0.020s (-0.00269)
326=0.041s (0.0193)/163=0.020s (-0.00622)
328=0.041s (0.0139)/164=0.021s (-0.00948)
330=0.041s (-0.0135)/165=0.021s (-0.0299)
332=0.042s (-0.0359)/166=0.021s (0.000464)
334=0.042s (0.0422)/167=0.021s (-0.00119)
336=0.042s (0.0578)/168=0.021s (-0.0124)
338=0.042s (-0.0076)/169=0.021s (0.0124)
340=0.043s (-0.0247)/170=0.021s (0.00911)
342=0.043s (0.00803)/171=0.021s (-0.00778)
344=0.043s (-0.0076)/172=0.022s (0.000366)
346=0.043s (0.0139)/173=0.022s (-0.00126)
348=0.044s (0.00803)/174=0.022s (0.0183)
350=0.044s (0.029)/175=0.022s (0.0337)
352=0.044s (0.0139)/176=0.022s (0.0367)
354=0.044s (0.0559)/177=0.022s (0.0308)
356=0.045s (0.0193)/178=0.022s (0.0219)
358=0.045s (0.0241)/179=0.022s (0.0257)
360=0.045s (0.0461)/180=0.023s (0.00156)
362=0.045s (0.0559)/181=0.023s (0.00504)
364=0.046s (0.0139)/182=0.023s (-0.0159)
366=0.046s (0.0403)/183=0.023s (0.00316)
368=0.046s (-0.0188)/184=0.023s (0.0341)
370=0.046s (-0.0555)/185=0.023s (0.0069)
372=0.047s (-0.0398)/186=0.023s (-0.0125)
374=0.047s (0.0139)/187=0.023s (0.0138)
376=0.047s (0.05)/188=0.024s (-0.00456)
378=0.047s (0.0617)/189=0.024s (-0.0611)
380=0.048s (0.0617)/190=0.024s (-0.0451)
382=0.048s (-0.032)/191=0.024s (-0.0446)
384=0.048s (-0.0555)/192=0.024s (-0.0902)
386=0.048s (-0.0555)/193=0.024s (-0.0618)
388=0.049s (0.0481)/194=0.024s (-0.0169)
390=0.049s (0)/195=0.024s (-0.00513)
392=0.049s (-0.0139)/196=0.025s (0.00471)
394=0.049s (-0.0257)/197=0.025s (0.0324)
396=0.050s (-0.0305)/198=0.025s (0.0236)
398=0.050s (0)/199=0.025s (0.0234)
400=0.050s (0.0578)/200=0.025s (0.0111)
402=0.050s (0.0578)/201=0.025s (0.0292)
404=0.051s (0.129)/202=0.025s (0.0133)
406=0.051s (0.0881)/203=0.025s (-0.0268)
408=0.051s (0.092)/204=0.026s (0.00624)
410=0.051s (-0.0398)/205=0.026s (-0.00998)
412=0.052s (-0.0218)/206=0.026s (-0.0369)
414=0.052s (-0.0574)/207=0.026s (-0.0287)
416=0.052s (-0.0149)/208=0.026s (-0.0181)
418=0.052s (0.0461)/209=0.026s (-0.0114)
420=0.053s (0.0764)/210=0.026s (-0.0133)
422=0.053s (0.0403)/211=0.026s (-0.00489)
424=0.053s (0.0578)/212=0.027s (0.0201)
426=0.053s (-0.00858)/213=0.027s (0.0605)
428=0.054s (0.028)/214=0.027s (0.0233)
430=0.054s (0.0881)/215=0.027s (-0.000415)
432=0.054s (0.0725)/216=0.027s (0.0338)
434=0.054s (0.0403)/217=0.027s (0.00915)
