pv parameters:
R = 10000
N = 256
Nw = 256
D = 1
I = 2
P = 1
Np = 0
synt = 0
17=0.002s (0.00119)/34=0.003s (0.000608)
18=0.002s (0.00119)/36=0.004s (0.000748)
19=0.002s (0.00119)/38=0.004s (0.00112)
20=0.002s (0.000702)/40=0.004s (0.00141)
21=0.002s (0.000702)/42=0.004s (0.00116)
22=0.002s (0.00119)/44=0.004s (0.000861)
23=0.002s (0.00119)/46=0.005s (0.000884)
24=0.002s (0.00119)/48=0.005s (0.000891)
25=0.003s (0.00119)/50=0.005s (0.00115)
26=0.003s (0.00119)/52=0.005s (0.000998)
27=0.003s (0.000702)/54=0.005s (0.00113)
28=0.003s (0.000702)/56=0.006s (0.00124)
29=0.003s (0.00119)/58=0.006s (0.00102)
30=0.003s (0.00119)/60=0.006s (0.000633)
31=0.003s (0.00119)/62=0.006s (0.000696)
32=0.003s (0.00119)/64=0.006s (0.00115)
33=0.003s (0.00119)/66=0.007s (0.000969)
34=0.003s (0.000702)/68=0.007s (0.00111)
35=0.004s (0.000702)/70=0.007s (0.0015)
36=0.004s (0.000702)/72=0.007s (0.00131)
37=0.004s (0.000702)/74=0.007s (0.00089)
38=0.004s (0.000702)/76=0.008s (0.000907)
39=0.004s (0.000702)/78=0.008s (0.000912)
40=0.004s (0.000702)/80=0.008s (0.000727)
41=0.004s (0.000702)/82=0.008s (0.000598)
42=0.004s (0.000702)/84=0.008s (0.000823)
43=0.004s (0.000702)/86=0.009s (0.00098)
44=0.004s (0.000702)/88=0.009s (0.000838)
45=0.005s (0.000702)/90=0.009s (0.000723)
46=0.005s (0.00119)/92=0.009s (0.00144)
47=0.005s (0.00119)/94=0.009s (0.00164)
48=0.005s (0.00119)/96=0.010s (0.00126)
49=0.005s (0.000702)/98=0.010s (0.00128)
50=0.005s (0)/100=0.010s (0.000888)
51=0.005s (0)/102=0.010s (0.000822)
52=0.005s (0.000702)/104=0.010s (0.00107)
53=0.005s (0)/106=0.011s (0.000845)
54=0.005s (0)/108=0.011s (0.00102)
55=0.006s (0)/110=0.011s (0.00103)
56=0.006s (0)/112=0.011s (0.00132)
57=0.006s (0.000702)/114=0.011s (0.00117)
58=0.006s (0.000702)/116=0.012s (0.000933)
59=0.006s (0)/118=0.012s (0.000978)
60=0.006s (0)/120=0.012s (0.000999)
61=0.006s (0.000702)/122=0.012s (0.00134)
62=0.006s (0.000702)/124=0.012s (0.00158)
63=0.006s (0.000702)/126=0.013s (0.000768)
64=0.006s (0.000702)/128=0.013s (0.00063)
65=0.007s (0.000702)/130=0.013s (0.0011)
66=0.007s (0)/132=0.013s (0.00109)
67=0.007s (0)/134=0.013s (0.00069)
68=0.007s (0.000702)/136=0.014s (0.000912)
69=0.007s (0.000702)/138=0.014s (0.000954)
70=0.007s (0)/140=0.014s (0.000918)
71=0.007s (0)/142=0.014s (0.00124)
72=0.007s (0)/144=0.014s (0.00129)
73=0.007s (0)/146=0.015s (0.00105)
74=0.007s (0.000702)/148=0.015s (0.00117)
75=0.008s (0.000702)/150=0.015s (0.000965)
76=0.008s (0.000702)/152=0.015s (0.000918)
77=0.008s (0.000702)/154=0.015s (0.00102)
78=0.008s (0.000702)/156=0.016s (0.000802)
79=0.008s (0.000702)/158=0.016s (0.000873)
80=0.008s (0.00119)/160=0.016s (0.00105)
81=0.008s (0.00119)/162=0.016s (0.00114)
82=0.008s (0.00119)/164=0.016s (0.00116)
83=0.008s (0.00119)/166=0.017s (0.00117)
84=0.008s (0.000702)/168=0.017s (0.000976)
85=0.009s (0.000702)/170=0.017s (0.00102)
86=0.009s (0.000702)/172=0.017s (0.00103)
87=0.009s (0.000702)/174=0.017s (0.000924)
88=0.009s (0.000702)/176=0.018s (0.00108)
89=0.009s (0.000702)/178=0.018s (0.000849)
90=0.009s (0)/180=0.018s (0.000631)
91=0.009s (0)/182=0.018s (0.000916)
92=0.009s (0)/184=0.018s (0.000766)
93=0.009s (0)/186=0.019s (0.000649)
94=0.009s (0)/188=0.019s (0.000681)
95=0.010s (0)/190=0.019s (0.000584)
96=0.010s (0.000702)/192=0.019s (0.000989)
97=0.010s (0.000702)/194=0.019s (0.000726)
98=0.010s (0.000702)/196=0.020s (0.00107)
99=0.010s (0.000702)/198=0.020s (0.00122)
100=0.010s (0.000702)/200=0.020s (0.000869)
101=0.010s (0.000702)/202=0.020s (0.000843)
102=0.010s (0.00119)/204=0.020s (0.00117)
